Image_path,Label
HEAL_Workspace/tiling/train/TCGA-D7-6519-01Z-00-DX1_files/0,CIN
HEAL_Workspace/tiling/train/TCGA-D7-6519-01Z-00-DX1_files/0,notCIN 
HEAL_Workspace/tiling/train/TCGA-D7-6519-01Z-00-DX1_files/0,CIN
HEAL_Workspace/tiling/train/TCGA-D7-6519-01Z-00-DX1_files/0,notCIN
HEAL_Workspace/tiling/train/TCGA-D7-6518-01Z-00-DX1_files/0,notCIN
HEAL_Workspace/tiling/train/TCGA-D7-6518-01Z-00-DX1_files/0,CIN
HEAL_Workspace/tiling/train/TCGA-D7-6518-01Z-00-DX1_files/0,notCIN
HEAL_Workspace/tiling/train/TCGA-D7-6518-01Z-00-DX1_files/0,CIN
HEAL_Workspace/tiling/train/TCGA-VQ-AA6I-01Z-00-DX1_files/0,notCIN
HEAL_Workspace/tiling/train/TCGA-VQ-AA6I-01Z-00-DX1_files/0,CIN
HEAL_Workspace/tiling/train/TCGA-VQ-AA6I-01Z-00-DX1_files/0,CIN
HEAL_Workspace/tiling/train/TCGA-VQ-AA6I-01Z-00-DX1_files/0,notCIN
HEAL_Workspace/tiling/train/TCGA-VQ-AA6F-01Z-00-DX1_files/0,CIN
HEAL_Workspace/tiling/train/TCGA-VQ-AA6F-01Z-00-DX1_files/0,CIN
HEAL_Workspace/tiling/train/TCGA-VQ-AA6F-01Z-00-DX1_files/0,CIN
HEAL_Workspace/tiling/train/TCGA-VQ-AA6F-01Z-00-DX1_files/0,CIN
